Title,Year & Authors,Application Domain,Dataset,Architecture,Wavelet / Pooling Technique,Quantitative Results,Outcomes,Main Contribution / Innovation,Model Robustness,Limitations,Loss Function,Training Strategy,GAN Variant,Discriminator / Generator Type,Pooling Layer / Wavelet Location,Comparative Analysis,Input Size / Resolution,Baseline for Comparison,Layer Composition,Code Availability,Cross-Dataset Generalization,Complexity and Scalability,Optimization Algorithms,Training Dynamics / Regularization / Convergence,Feature Representation / Extraction,,,,,,,,,,,,,
L-WaveBlock: A Novel Feature Extractor Leveraging Wavelets for Generative Adversarial Networks,"2023, Shah et al.","Image-to-image translation, Resolution enhancement, Denoising","Maps (road satellite/map, 512x512, 1096 train/test); CelebA (202,599 faces, 218x178); GoPro (deblurring, 1280x720, 2,103 train, 1,111 test)",UNet-based GAN generator; special skip connection with DWT (Daubechies 2),"Discrete Wavelet Transform (DWT) with Daubechies 2 wavelet, applied in skip connections of generator (at each skip connection between encoder and decoder)","Maps: IS=3.6959, SSIM=0.4261 (w/ L-WaveBlock); CelebA: PSNR=29.05, SSIM=0.874 (w/ L-WaveBlock); GoPro: PSNR=26.913, SSIM=0.782 (w/ L-WaveBlock); baseline values provided",Accelerated convergence; competitive or improved image quality vs. baseline on diverse tasks; model efficiently extracts features and speeds up GAN training.,"Introduction of L-WaveBlock: a DWT-powered feature extraction module in GAN generators using adaptive band-wise convolution in skip connections, leading to faster convergence and efficient multi-scale representation.","Demonstrates faster convergence (needs ~750 epochs vs. 1000 baseline), stable loss, competent performance across multiple datasets and tasks; reduction in memory/processing needs noted.","Not always state-of-the-art in denoising quality (GoPro dataset), some results only slightly better; scalability to massive datasets or high-res not exhaustively benchmarked; future work suggested.","Adversarial loss (GAN); for super-resolution, pixel-wise and SSIM; loss curves for generator shown; stability and smooth convergence with L-WaveBlock.","Supervised (paired datasets: maps, CelebA, GoPro); paired image training.","Standard GAN (not explicitly cGAN, WGAN, etc.)",UNet-based generator with DWT-integrated skip connections; discriminator not exhaustively detailed (standard design assumed),DWT applied at each skip connection in generator (encoder-decoder UNet structure); each skip processed band-wise and recombined,"Comparison to baseline/vanilla GANs (without L-WaveBlock) on all tasks: IS, SSIM, PSNR all improved or competitive; ablation: with and without L-WaveBlock.",Maps: 512x512; CelebA: 218x178; GoPro: 1280x720,Baselines: UNet-based GAN generator without L-WaveBlock (no DWT) for each task,"Conv-BN-ReLU stacks in encoder; L-WaveBlock custom skip with (for LL: 2 conv layers, for LH/HL/HH: 1 conv layer each) + concat; decoder mirrors encoder; batchnorm/residual/transpose conv mentioned",Not specified,"Applied to three different datasets (maps, CelebA, GoPro); generalizes across image translation, denoising, super-resolution tasks; no explicit cross-dataset transfer test",Model is lighter (less memory/processing via DWT); decomposes features at each scale; reduces overfitting potential; not highly detailed on scalability to very high-res/datasets,Not specified (optimizer),Stable training; rapid convergence especially with L-WaveBlock; smoothed loss curves vs. vanilla (graphs shown); no drastic divergence,Band-wise frequency-domain features extracted at skip connections; leverages multi-scale/orthogonal frequency subbands via DWT; enhances both local and global feature extraction,,,,,,,,,,,,,
MRI Super-Resolution using Generative Adversarial Network and Discrete Wavelet Transform,"2022, Balasubramanian et al.","Medical imaging, super-resolution reconstruction","2500 MRI images (mixture of tumor, Alzheimer affected, and normal MRI’s)",SRGAN (Super-Resolution GAN) with wavelet integration,2D Discrete Wavelet Transform (DWT) applied to input images; sub-bands passed through separate generators; inverse DWT combines outputs,PSNR: 29.44 dB; SSIM: 0.92,"Achieves high-resolution MRI images with improved edge clarity and frequency details, on par or better than standard SR techniques",Integration of DWT with SRGAN using separate generators per sub-band for enhanced feature extraction and image quality,Demonstrated computational simplicity and stable convergence; performance evaluated on a diverse MRI set; robustness discussed in terms of loss curves and feature representation,Limited to MRI images; cross-dataset generalization not tested; does not explicitly address scalability to larger datasets or higher resolutions,"Perceptual loss (VGG loss), adversarial loss, and wavelet loss; wavelet loss for sub-band reconstruction; regularization via weight decay","Supervised training (paired LR-HR MRI images, bicubic LR generation)",cGAN (conditional GAN) structure following SRGAN principles,Generator: 16 residual blocks (VGG-like per sub-band generator); Discriminator: 8 convolutional blocks with doubling kernels (64-512),Wavelet transform at input (preprocessing); IDWT after sub-band generators before discriminator,Compared to SRGAN; authors mention competitive or improved PSNR and SSIM values vs state-of-the-art; qualitative and loss curve comparisons shown,256x256 (HR images and network input),"SRGAN, standard super-resolution GAN architectures",Generators: Residual blocks; Discriminator: Conv blocks with increasing depth; VGG-type feature extractors; Conv-BN-ReLU stacks,Not specified,Not specified,Model claimed efficient and computationally simple; no explicit scalability tests discussed,"Adam optimizer (inferred from standard practice), learning rate=0.0002, batch size=32, 100 iterations",Loss curve shows stable training and convergence; weight decay used as regularization; decrease in loss with iterations shown,Wavelet coefficients (sub-band features) extracted and processed; VGG feature maps used for perceptual loss; designed for enhanced frequency and edge representation,,,,,,,,,,,,,
Multimodal-Boost: Multimodal Medical Image Super-Resolution using Multi-Attention Network with Wavelet Transform,"2021, Dharejo et al.",Medical imaging super-resolution (single-image super-resolution for diverse medical images),"DIV2K (for pre-training), Shenzhen Hospital CT images, Montgomery County X-ray, Teeth, Knee, and Calgary Campinas MRI Brain Scans",GAN with Multi-Attention and Upsample Blocks (referred to as Multimodal-Boost),2D discrete wavelet transform (DWT) from Haar family for input decomposition; 2D inverse DWT (IDWT) for HR image reconstruction. Applied at input and output of generator.,"PSNR: Teeth 36.32, Knee 36.97, Brain 37.46; SSIM: Teeth 0.937, Knee 0.931, Brain 0.941","Outperformed existing methods in PSNR/SSIM, produced perceptually realistic SR with improved edge and texture details for multiple medical modalities.",First multi-attention GAN framework combined with wavelet transform for multimodal medical SR; integrates transfer learning and a domain-specific perceptual loss.,Demonstrates robustness via successful transfer learning to multiple modalities and datasets; effective generalization confirmed in comparisons and cross-modality testing.,Model has higher parameter count and slower training compared to some lightweight baselines; does not yet address real-time speed or parameter minimization; future work needed for parameter reduction and impact on downstream tasks like classification.,"Wasserstein GAN (WGAN) loss, perceptual loss (with VGG-16-based and domain-specific perceptual networks)","Transfer learning: pre-trained on DIV2K (natural images), fine-tuned on smaller medical datasets; training is supervised with paired data.",WGAN,"Generator: Multi-attention blocks + upsample-attention blocks (custom CNN design); Discriminator: CNN-based, binary classifier (local/global not specified)",DWT applied at input (encoder/start) for wavelet subbands and IDWT at end of generator; pooling (max pool) present in perceptual loss network; attention/upsample blocks within main generator.,"Compared to SRCNN, EDSR, Meta-SR, CIRCLE-GAN, SR-ILLNN, and Bicubic interpolation; consistently achieves best PSNR/SSIM in all tested modalities.",Training patch size: 56×56 (DIV2K); evaluation: all images resized to 512×512; original DIV2K images are up to 2000×1400,"SRCNN, EDSR, Meta-SR, CIRCLE-GAN, SR-ILLNN, Bicubic interpolation","Generator: Conv-BN-LReLU stacks, self-attention blocks, upsample-attention blocks, upsample layers; Perceptual network: Conv layers, max pool, ReLU; total structure includes DWT/IDWT transforms.",Not specified,"Yes; tested on both natural (DIV2K) and multiple medical datasets (CT, MRI across modalities)","Model has more parameters and slower training/inference compared to SRCNN, Meta-SR, SR-ILLNN, but fewer than EDSR and CIRCLE-GAN; further work suggested on model compression; scalable due to transfer learning across domains.","Adam optimizer (β1=0.9, β2=0.999, ε=10⁻⁸)",WGAN-based losses converge faster; loss curves suggest high training stability and rapid convergence; regularization via gradient penalty in WGAN; improved convergence speed with combined perceptual+adversarial loss.,"Wavelet subbands (multi-frequency), self-attention features, upsample-attention maps, perceptual features extracted via domain-specific VGG-16; focus on texture, edge, and high-frequency details.",,,,,,,,,,,,,
Multiscale Generative Adversarial Network Based on Wavelet Feature Learning for SAR-to-Optical Image Translation,"2022, Li et al.","SAR-to-optical image translation (remote sensing, image synthesis)",Sentinel-1 (SAR) and Sentinel-2 (optical) datasets; also QXS-SAROPT ship dataset for extension,WFLM-GAN (Multiscale GAN based on wavelet feature learning),Haar wavelet transform; applied for decomposing optical images into low-frequency (content) and high-frequency (detail) features in generator (content learning stage),"Best results on fall dataset: SSIM 88.921%, PSNR 26.345, FID 50.396, KID 0.305; outperforms baselines on all datasets with highest SSIM/PSNR and lowest FID/KID","Achieved superior SAR-to-optical translation quality with improved details and realism, robust across seasons and regions; enables enhanced visual interpretation for nonexperts.",Two-stage generator: learns SAR-to-wavelet feature mapping then reconstructs gray-scale/optical image; integrates multiscale coloring network (detail+style learning); novel multitask discriminator for joint real/wavelet/gray-scale discrimination; introduces EDGE and SSIM loss for enhanced structure/texture.,"Demonstrated stable and consistent improvements in various regions/seasons; ablation/expansion studies show effectiveness & generalization, including to unseen ship targets; analysis on data partitioning and histograms supports stability.","Smallest quantitative improvement on homogeneous, low-detail datasets (e.g., winter set); generalization can drop if data distribution in test split is very different; use of only Haar wavelet; further improvement needed for lightweight/faster models.","Adversarial (LSGAN/least-squares), L1 and L2 supervised loss, EDGE loss, SSIM loss, identity loss",Supervised training (paired SAR-optical images),LSGAN (least-squares GAN); cGAN-like supervised structure,"Multitask discriminator (Markovian/Patch-like for gray-scale/color and spliced wavelet features) / Generators: first stage is wavelet-feature-to-gray multiscale residual net, second is multiscale coloring network with detail/style branches",Haar wavelet transform is applied in generator during content learning (first stage); detail learning branch in second-stage generator; pooling occurs via downsampling/upsampling in multiscale residual modules,"Compared with Pix2Pix, Pix2PixHD, S-CycleGAN, CycleGAN, and ablations; consistently outperformed in SSIM, PSNR, FID, KID; ablation validates contribution of each architectural component/loss function.",256×256,"Pix2Pix, Pix2PixHD, CycleGAN, S-CycleGAN","Residual blocks, downsampling/upsampling modules, multiscale feature fusion, Conv-BN-ReLU, Leaky/ReLU activations, multiscale residual structures in both generator and discriminator",https://github.com/G2022G/WFLM-GAN,"Yes; tested on QXS-SAROPT ship dataset (trained on main dataset, transfers to specific target imagery); analyzes cross-region/season splits.","Noted that parameter/compute increase is less than best baseline (Pix2PixHD), 1.27x params for ~1.7-1.8x improvement on main metrics; scalability to larger/more diverse SAR/optical scenes implied but not benchmarked for ultra-high res.","Adam optimizer (lr=0.0002, β1=0.5, β2=0.999), batch size 1, 200 epochs","Least-squares loss improves training stability; multiscale design and extra losses (EDGE, SSIM, identity) help convergence/stability; ablations show more stable/consistent FID-KID curves with full model.",Explicit learning and supervision of low- and high-frequency (detail) wavelet features from optical images; multiscale residual architecture enables semantic/style/structure extraction at multiple levels; EDGE/SSIM losses guide texture and structure learning.,,,,,,,,,,,,,
Pedestrian wind flow prediction using spatial-frequency generative adversarial network,"2023, Wang et al.",Pedestrian wind flow prediction,"1200 image pairs of residential cases in Beijing, China, simulated with Eddy3D/OpenFOAM; 1000 train/100 val/100 test","SFGAN (Spatial-Frequency GAN), based on U-Net generator and PatchGAN discriminator","Gaussian blur (spatial domain) and discrete wavelet transform (DWT, frequency domain); spatial decomposition via Gaussian kernel, frequency decomposition via 5-level DWT","Wind_MAE: 0.19397, Wind_RMSE: 0.28113, FID: 64.61 (SFGAN); 5.35% lower MAE, 6.52% lower RMSE, and 12.3% lower FID than Pix2pix; inference time per case: 10.35 ms",SFGAN significantly reduced errors in high-error intervals and improved performance in wake and building-surrounding regions; enhanced wind prediction for architectural design,"Introduces a novel spatial-frequency loss incorporating Gaussian blur and DWT, flexibly integrable with other models; jointly aligns predictions and ground truth in both spatial and frequency domains","Consistent performance improvement shown across quantitative, qualitative, and ablation results; model achieves high accuracy with minimal extra computational cost; slight increase in training/inference time vs. Pix2pix","Physical fluid laws are not explicitly considered; only tested on simulated residential layouts from Beijing; possible overfitting to local geometry; generalization to other domains/real"" data not validated""","Adversarial loss (GAN), L1 loss, spatial-frequency loss (combining spatial (GAU) and frequency (DWT) domain losses with weights α, β); λ=100, α=0.1, β=20000",Supervised (paired image-to-image translation),"Conditional GAN (cGAN, specifically Pix2Pix-based)","U-Net-based generator, PatchGAN discriminator; skip connections and dropout in decoder",Pooling/wavelet: Gaussian blur applied in spatial domain decomposition (to predicted and ground truth images); DWT applied in frequency domain decomposition; both before loss calculation (not in main generator architecture),"Compared with Pix2pix, BicycleGAN, CycleGAN, CUT; SFGAN outperformed all baselines on all metrics; ablations showed best results using both spatial and frequency losses; addition of spatial-frequency loss improved other GAN variants (see Table 7)",256×256 pixels (each pixel = 2.5 m spatial extent),"Pix2pix, BicycleGAN, CycleGAN, CUT (state-of-the-art GANs for image translation and wind flow prediction)",Encoder: Conv-BN-LeakyReLU; Decoder: Deconv-BN-Dropout-ReLU; skip-connections; PatchGAN for discriminator; dropout in decoder; U-Net structure,Not specified,No (all data from the same dataset; cross-dataset performance not tested),"Slight increase in computation vs. Pix2pix; training and inference time comparable (10-11 ms/case, one epoch 334 s on single V100 GPU); efficiently supports rapid feedback for early design","Adam optimizer (β1=0.5, β2=0.999), initial LR 0.0002; 50 epochs constant LR + 50 epoch linear decay; batch size=1",Stable and smooth convergence; dropout and batchnorm mitigate overfitting; ablation studies confirm regularization and convergence behaviors; robust to large error intervals and critical regions,"Explicit learning and embedding of wind speed (low-component), sharp edges (high-component, spatial domain), and multi-level frequency spectrum (all DWT subbands); features enforce prediction-target similarity in both domains",,,,,,,,,,,,,
Power quality disturbances classification with imbalanced/insufficient samples based on WGAN-GP-SA and DCNN,"2024, Li et al.",Power quality disturbance classification,"Dataset A (imbalanced samples), Dataset B (small samples), simulated according to IEEE 1159 power quality testing standard",WGAN-GP-SA for data augmentation and DCNN for classification,Continuous Wavelet Transform (CWT) to generate time-frequency images; CWT applied after denoising as preprocessing,"SSIM (up to 0.979), PSNR (>20 for most classes), FID (as low as 19.69), Classification accuracy improved by 2.82% (93.09% over 90.27% in dataset A), and by 1.35% in dataset B (94.61%)",Method improved classification accuracy and generalization of the classifier for PQDs with imbalanced and insufficient samples; more balanced datasets led to best results,Integration of atrous spatial pyramid pooling (ASPP) module and Squeeze-and-Excitation (SE) block into WGAN-GP's discriminator (WGAN-GP-SA) for enhanced sample quality in data augmentation,Demonstrates improved stability (converging loss curves); better generalization and accuracy on both balanced and imbalanced test sets; t-SNE shows better class separability after augmentation,"Possible limitations in handling more complex, multiple PQDs; stated as future work",WGAN-GP loss with gradient penalty; classification uses cross-entropy loss for DCNN,Supervised,WGAN-GP-SA (an improved version of WGAN-GP),"DCNN classifier (7 Conv layers + 3 FC layers with Batch Normalization after each Conv); WGAN-GP-SA: multiple transposed conv layers (generator), Discriminator enhanced with ASPP-SE (SA) module",CWT applied after denoising as preprocessing (feature extraction stage); pooling layers present in DCNN; ASPP module embedded in the discriminator of WGAN-GP-SA,"Compared with DCGAN and WGAN-GP for data generation (FID: WGAN-GP-SA best); compared DCNN with AlexNet, VGG16, ResNet18, SqueezeNet (DCNN best); ablation on dataset size and balance; t-SNE visualizations; accuracy gains quantified",64×64 time-frequency images,"Baseline GAN models: DCGAN and WGAN-GP; baseline classifiers: AlexNet, VGG16, ResNet18, SqueezeNet",DCNN: 7 Conv-BN layers + 3 FC layers; generator uses multiple transposed conv layers; discriminator uses ASPP and SE modules; standard deep learning layer types,Not specified,No (the data used is confidential); no code repository mentioned,Not explicitly tested on external datasets; not specified,Discusses that the proposed model does not increase parameter count over baseline augmentation methods; computational scalability not explicitly addressed,"Adam optimizer (learning rates: 2e-5 for discriminator, 2e-4 for generator, 1e-4 for classifier); gradient penalty factor: 10",Loss curves show stable convergence for WGAN-GP-SA; t-SNE used for regularization visualization; Batch Normalization in DCNN,Wavelet (CWT) features extracted as 2D images for augmentation/model input; ASPP-SE in discriminator enhances multi-scale and channel-wise feature extraction,,,,,,,,,,,,
Remote sensing image dehazing using a wavelet-based generative adversarial networks,"2025, Chen et al.",Remote sensing image dehazing,"StateHaze1k, RICEx",GAN with dense residual wavelet architecture (custom),Wavelet transform blocks; applied in encoder and decoder to extract high and low-frequency features,"StateHaze1k thin: PSNR 28.204, SSIM 0.927; moderate: PSNR 30.643, SSIM 0.955; thick: PSNR 28.541, SSIM 0.929; RICEx: PSNR 35.212, SSIM 0.982","Achieves state-of-the-art PSNR and SSIM on multiple haze levels; restores color fidelity and detail, clearer dehazed images","Integration of dense residual blocks, wavelet transform blocks, and global/local attention blocks in a GAN for dehazing; improved loss combining LAB color and SSIM losses",Demonstrated superior and consistent performance across different haze densities and spatial resolutions; increased robustness via noise module in discriminator,"Longer inference time due to complexity; limited generalization to complex cases (e.g., clouds, snow, reflective surfaces); not optimal for complex remote sensing scenes","Adversarial loss, perceptual loss, LAB color loss, SSIM loss",Supervised,"GAN (standard, custom variant)","Discriminator with noise module; generator with encoder–decoder, dense residual, wavelet, and attention blocks",Wavelet transform applied in encoder and decoder hybrid modules to extract/fuse frequency features,"Compared with EPDN, MSGAN, DedustGAN, DW-GAN, PSMB; our method achieves highest PSNR and SSIM across all datasets; ablation shows each custom block's importance",512×512 (inference time reported for this size),"EPDN, MSGAN, DedustGAN, DW-GAN, PSMB","Conv-BN-LeakyReLU, residual blocks with dilated convolutions, dense residual blocks, wavelet blocks, attention blocks, PixelShuffle for upsampling",Code availability not explicitly stated; datasets and links provided,Tested on StateHaze1k and RICEx; strong performance on images with varying spatial resolutions,Model is more complex and has longer dehazing times; strong for varying image resolutions but complexity may limit scalability,"Adam optimizer (β1=0.9, β2=0.999)",Improved stability from BN and LeakyReLU; ablation shows individual block impact; robust to noise in discriminator,Dense residual blocks extract spatial features; wavelet blocks extract frequency-domain (high/low) features; attention enhances salient features,,,,,,,,,,,,,
Single image super resolution via wavelet transform fusion and SRFeat network,"2022, Ma et al.",Image super resolution,20-image custom dataset; some underwater images; random images from unspecified sources,SRFeat,Wavelet transform fusion; fusion of network output and up-sampled low-resolution image via wavelet transform,"PSNR improved by 0.3 dB; SSIM improved by 0.02; PSNR: up to 45.2440, SSIM: up to 0.9761; NIQE mean reduced by 0.1 compared to SRFeat","Enhanced image reconstruction with reduced noise, better recovery of global information, and higher PSNR/SSIM than baselines including SRFeat and SRCNN",Combines SRFeat deep network with wavelet transform-based image fusion post-process to improve denoising and global detail without added parameters/depth,Demonstrated improved performance across natural and underwater images; improved NIQE and robustness to image types,Fusion method is simple and may not preserve fine details; further research needed to improve image fusion algorithm,"Mean Square Error (MSE) loss, perceptual loss (via VGG19), adversarial loss, feature GAN loss",Supervised,GAN,"Feature-discriminator; generator with residual blocks and sub-pixel convolution, discriminator in pixel and feature domain",Pooling not specified; wavelet fusion applied after network-generation as post-processing,"Compared with SRFeat, SRCNN, and bicubic interpolation; method shows superior quantitative results on PSNR, SSIM, NIQE","Input size not explicitly stated; scale factor 4 used; some image kernel sizes described (e.g., 9x9, 3x3)","Baselines are SRFeat, SRCNN, and bicubic interpolation",Residual blocks and skip connections in generator; sub-pixel convolution layers for up-sampling; 1x1 and 3x3 convolutional layers,Not specified,"Yes, tested on both general/natural and underwater images","Noted that network does not require more depth/parameters; computational complexity not directly discussed, but claims no increase in complexity",Stochastic Gradient Descent (SGD) for optimization,"Skip connections, MSE pre-training, VGG-based perceptual loss; model is claimed stable; does not need deeper network for improvement",Learns and reconstructs high-frequency features; feature discriminator guides generation of perceptually meaningful features; wavelet fusion aimed to recover global information,,,,,,,,,,,,,
Style Transfer of Thangka Images Highlighting Style Attributes,"2023, Hu et al.",Style transfer (Thangka image style transfer),"Thangka dataset, Impressionism dataset",HAA-GAN (Highlighting Artistic Attributes Generative Adversarial Network),"Wavelet multilevel transform pooling layer applied in encoder and decoder (Wavelet_Pooling in encoder, WaveletUnPooling in decoder)","FID improved by 9.06% and PSNR by 12.7% over SAFIN, DSTN; highest PSNR and IS, lowest FID among compared methods; SSIM high (close to 1); qualified image generation rate over 80%","Model achieves precise Thangka-style attribute reconstruction, improved texture/structure retention, flexible local-global style matching, fewer artifacts, and visually superior transfer images",Key innovation: Dual-channel feature transfer in generator (style domain attribute refinement channel + self-attention semantic info matching channel); wavelet pooling layers for detailed feature extraction; dual-resolution discriminator; ablation proving each module's impact,"Evidence of robustness: Outperforms baselines on two datasets, ablation studies confirm stability and performance improvement; preserves details and generalizes to other styles (tested on cross-style images)","Dataset size (12,000 images) is limited, some data quality issues, model efficiency can improve, and objective metrics for style quality are still developing; future work is suggested on broader generalization and metric definition","Adversarial loss, binary cross-entropy, L1 distance, L2 distance (content and style loss), weighted multi-task loss (including channel-specific and mixup-based terms)",Supervised training,cGAN (conditional GAN) framework,"Dual-resolution discriminator (standard: 256x256, high-res: 512x512) using CNNs; generator: encoder-decoder with dual-channel transfer, self-attention, wavelet pooling, attribute refinement module","Wavelet pooling in encoder/decoder (both), dual-channel modules between encoder and decoder","Compared with AdaIN, SANet, CycleGAN, SAFIN, DSTN using FID, PSNR, SSIM, IS; HAA-GAN consistently superior in metrics and visual quality; ablations demonstrate modular effectiveness","256x256 for training, 512x512 also tested (dual-res discriminator); any size supported at test","AdaIN, SANet, CycleGAN, SAFIN, DSTN","Encoder-decoder structure: convolutional layers, ReLU, self-attention, Factorized Instance Normalization, wavelet pooling/unpooling, dual-channel feature transfer; discriminator: convolutional and fully connected layers",Not specified,"Validated on cross-style (style transfer between Thangka and Impressionist images), tests show generalization beyond trained pairings","Transfer speed comparable to other methods, real-time for 256x256 and 512x512; efficient for practical use. Computational demands mainly from wavelet pooling/WAN modules.","Adam optimizer, learning rate 1e-4, 2000 iterations, batch size not specified",Stability proven via ablation (modules improve convergence); regularization through attention & wavelet pooling; no instability or mode collapse reported; convergence consistent across runs,"Features learned include wavelet-transformed (frequency domain) features, style Gram matrices, local/global style, self-attended semantic matches, edge details",,,,,,,,,,,,,
Super-Resolution Image Reconstruction Method between Sentinel-2 and Gaofen-2 Based on Cascaded Generative Adversarial Networks,"2024, Wang et al.",Super-resolution of remote sensing images; cross-sensor super-resolution,"GF_Sen (new: paired Sentinel-2 and Gaofen-2), plus UC_Merced, WHU-RS19, USC-SIPI for evaluation",CSWGAN (Cascade of Self-attention GAN (SGAN) and Wavelet-based GAN (WGAN)),"Wavelet transform; wavelet prediction and reconstruction subnet in WGAN, parallel sub-nets predicting wavelet coefficients (1-level decomposition)","On GF_Sen: PSNR = 24.335, SSIM = 0.828; Outperforms ESRGAN by PSNR +4.877, SSIM +0.181; Also reported: SAM = 0.178, RMSE = 15.356 (see Table 3)","CSWGAN achieves superior SR with improved high-frequency detail, best PSNR/SSIM on real cross-sensor data, robust on texture-rich scenes; edge contours clearer and less aliasing versus baselines","Cascaded architecture combining spatial and frequency domain generators (SGAN, WGAN); first in remote sensing to couple self-attention and wavelet features for SR; new real high–low-res cross-sensor dataset (GF_Sen)","Demonstrates strong generalization: trained on GF_Sen outperforms simulated data, robust on multi-scene and cross-dataset scenarios; best results on high-frequency scenes and large scales","Limitations noted for extension to multi-band (beyond RGB), handling of large resolution gaps (future work: more bands, extreme upscaling, spatiotemporal fusion); code/data delayed by patent application; extra training needed for sensors with larger resolution gaps","SGAN: Lmse (pixel-wise MSE) + α1*Ladv (adversarial) + α2*Ltv (TV reg.), WGAN: Lwavelet (wavelet coeff. MSE) + β*Ltexture + Lfull-image (MSE); α1=1e-3, α2=2e-8, β=0.1","Supervised training; two-phase strategy: SGAN then WGAN, joint end-to-end tuning at end; pretraining on UC_Merced, then on GF_Sen, batch size 16, learning rate scheduling, 1600 epochs","cGAN (conditional adversarial), overall framework utilizes adversarial loss in both components","Generator: residual blocks w/ PReLU + self-attention (SGAN), wavelet prediction/reconstruction subnets (WGAN); Discriminator: LeakyReLU-activated, no max pooling; details inspired by SRGAN/ESRGAN",Wavelet applied after SGAN output: WGAN processes spatial domain output from SGAN and predicts wavelet coefficients for HR synthesis; self-attention branch outside SGAN residual blocks,"Extensive: compared against Bicubic, SRCNN, ESPCN, ESRT, SRGAN, ESRGAN on multiple datasets and scenes; CSWGAN superior in PSNR/SSIM, esp. for texture/edge recovery; example: +4.877 PSNR vs ESRGAN","HR: 128x128 (cropped), LR: 64x64 (cropped); also 256x256, 512x512, 1024x1024 for USC-SIPI","SRCNN, ESPCN, ESRT, SRGAN, ESRGAN, Bicubic interpolation; scene-based: light-weight CNNs, transformer, GANs",Conv + BatchNorm + ReLU/PReLU stacks; residual blocks in generator; 1x1 convs for attention; WGAN has multiple parallel subnets for wavelet decomposition/reconstruction; deconvolution for upsampling,Not specified (dataset/code under patent application; intention to share),"Yes: tested on WHU-RS19, USC-SIPI after training on GF_Sen; cross-sensor and synthetic-real transfer tested",Not deeply discussed; cascading increases compute needs; end-to-end fine-tuning and progressive learning help; larger images require more resources,Adam optimizer (implied by deep learning conventions; not explicitly stated but consistent with similar literature),"Training split into SGAN then WGAN, with learning rate decay; joint end-to-end fine-tuning at end; TV regularization for smoothing; separate adversarial systems before integration; robust losses help convergence","Features: Self-attention (global), spatial low-frequency and geometric info (SGAN); wavelet-based frequency/texture detail extraction (WGAN); preserves more high-frequency info for realistic textures",,,,,,,,,,,,,
Super-resolution imaging quality enhancement method for distributed array infrared camera,"2024, Song et al.",Infrared image super-resolution imaging and enhancement,"Custom dataset created from 4-camera distributed array infrared imaging system (with augmentation: flipping, mirroring; ~6380 images); test chart and complex paper-cut images",Real-ESRGAN combined with POCS (Projections onto Convex Sets),"Wavelet fusion for preprocessing/denoising (wavelet transform, fusion rules in low/high frequencies)","Resolution improved to 2.5198 lp/mm (from 1.5874), MTF increased by 1.2×, entropy +18.87%, std +13.51%, NIQE −18.87% (to 4.5425); output image up to 5120×4096 px","Model substantially enhances super-resolution and detail in distributed infrared camera images, increasing clarity, contrast, and information content while reducing noise and artifacts","Integration of wavelet fusion, POCS, and Real-ESRGAN for noise reduction and robust super-resolution from unaligned distributed arrays; two-stage training with high-order degradation modeling",Tested on multiple targets and varied camera layouts; performance consistently superior to single-camera; robustness to camera spatial arrangement and input noise discussed,"Limitations include data/code availability (no public datasets), requirement for registration/motion compensation, and windowed laboratory demonstration (not full real-world scenarios); future work needed for real-time or field deployment","L1 loss (stage 1), combined L1, perceptual loss (VGG-based), and GAN loss (stage 2)","Supervised training with two-stage strategy: initial L1, then adversarial + perceptual",cGAN (Real-ESRGAN),"U-Net discriminator with spectral normalization, generator based on Residual-in-Residual Dense Blocks (RRDB)","Wavelet fusion/transform in image preprocessing, before POCS and GAN; no pooling in GAN detailed","Extensive comparisons: single-camera, POCS only, POCS+Real-ESRGAN; ablation on components like pre- and post-processing; POCS+Real-ESRGAN always best",Input 640×512 (initial) up to 5120×4096 (super-resolved); other examples: 225×266 to 1800×2128 px,"Baselines: single infrared camera, POCS only (without GAN), initial (low-res) images",Wavelet fusion for input denoising; GAN generator: RRDB/Conv/Pixel shuffle; discriminator: Conv/Spectral Norm/U-Net; standard Conv-BN-ReLU/residual stacks,Not specified,No explicit cross-dataset generalization; only test chart plus several objects in lab; transfer to field discussed as future work,"Efficiency and cost improvement by distributed (non-aligned) array; no explicit runtime/scalability results, but handles 4–1800+ px images; not benchmarked for speed","Adam optimizer (implied by typical Real-ESRGAN, not named explicitly)",Discriminator uses spectral normalization for stability; two-stage training improves convergence; generator initialized with PSNR-optimized weights,"Wavelet-based preprocessing extracts low/high frequency details; POCS registration extracts motion/residual features; Real-ESRGAN learns visually plausible, detail-preserving super-res representations",,,,,,,,,,,,,
